fromNode,toNode,Confidence,InteractionType,Genes
xcb01120,xcb00350,7,Interact,"XC_0452; XC_0686; XC_0775; XC_1109; XC_1780; XC_3641; XC_3642"
xcb01120,xcb00040,3,Interact,"XC_0469; XC_2445; XC_3421"
xcb01120,xcb00061,4,Interact,"XC_0527; XC_0529; XC_1578; XC_2881"
xcb01120,xcb00364,3,Interact,"XC_0539; XC_0540; XC_1552"
xcb01120,xcb00930,5,Interact,"XC_0553; XC_0953; XC_1702; XC_2975; XC_4205"
xcb01120,xcb00300,12,Interact,"XC_0662; XC_0882; XC_1103; XC_1253; XC_1372; XC_1569; XC_1701; XC_2349; XC_2389; XC_2493; XC_2851; XC_2854"
xcb01120,xcb00626,2,Interact,"XC_0686; XC_0775"
xcb01120,xcb00480,4,Interact,"XC_0725; XC_1977; XC_3854; XC_4082"
xcb01120,xcb03018,2,Interact,"XC_0872; XC_2531"
xcb01120,xcb00052,8,Interact,"XC_0872; XC_1166; XC_1223; XC_1976; XC_2488; XC_3050; XC_3608; XC_3941"
xcb01120,xcb01210,8,Interact,"XC_0882; XC_0944; XC_1569; XC_2326; XC_2329; XC_3213; XC_3268; XC_3854"
xcb01120,xcb00270,8,Interact,"XC_0982; XC_1253; XC_1372; XC_1569; XC_2389; XC_2697; XC_3307; XC_3655"
xcb01120,xcb00920,12,Interact,"XC_0982; XC_0990; XC_0991; XC_0992; XC_0993; XC_0994; XC_1227; XC_1334; XC_2564; XC_2697; XC_3655; XC_4044"
xcb01120,xcb00450,2,Interact,"XC_0993; XC_0994"
xcb01120,xcb00261,8,Interact,"XC_0993; XC_0994; XC_1372; XC_1569; XC_1701; XC_2349; XC_2389; XC_2493"
xcb01120,xcb00660,3,Interact,"XC_1063; XC_1064; XC_4119"
xcb01120,xcb00521,5,Interact,"XC_1166; XC_1223; XC_1976; XC_3608; XC_3941"
xcb01120,xcb00500,6,Interact,"XC_1166; XC_1223; XC_1976; XC_2465; XC_3608; XC_3941"
xcb01120,xcb00520,6,Interact,"XC_1166; XC_1223; XC_1976; XC_2465; XC_3608; XC_3941"
xcb01120,xcb00750,4,Interact,"XC_1267; XC_1270; XC_2386; XC_2645"
xcb01120,xcb02060,3,Interact,"XC_1306; XC_1742; XC_1744"
xcb01120,xcb00790,2,Interact,"XC_1519; XC_4131"
xcb01120,xcb00562,2,Interact,"XC_1587; XC_3473"
xcb01120,xcb00760,1,Interact,XC_1780
xcb00790,xcb00670,1,Interact,XC_3443
xcb01120,xcb00190,4,Interact,"XC_1981; XC_1982; XC_1983; XC_1985"
xcb01110,xcb00591,1,Interact,XC_2818
xcb00640,xcb00900,2,Interact,"XC_0204; XC_2943"
xcb00790,xcb00790,18,Interact,"XC_0731; XC_1144; XC_1145; XC_1519; XC_2469; XC_2471; XC_2517; XC_3245; XC_3246; XC_3247; XC_3249; XC_3285; XC_3443; XC_3644; XC_3857; XC_3887; XC_4131; XC_4253"
xcb01120,xcb00592,1,Interact,XC_2206
xcb01110,xcb00970,1,Interact,XC_1429
xcb00640,xcb00380,3,Interact,"XC_0204; XC_2943; XC_2975"
xcb00790,xcb04122,4,Interact,"XC_3245; XC_3246; XC_3247; XC_3249"
xcb01120,xcb00281,2,Interact,"XC_2206; XC_2975"
xcb01110,xcb00130,10,Interact,"XC_0060; XC_0333; XC_0402; XC_0489; XC_0673; XC_1846; XC_3371; XC_3432; XC_3433; XC_4103"
xcb00640,xcb00640,17,Interact,"XC_0204; XC_0527; XC_0529; XC_1063; XC_1064; XC_1578; XC_1759; XC_2326; XC_2751; XC_2881; XC_2943; XC_2975; XC_2981; XC_3214; XC_3215; XC_3689; XC_4149"
xcb00562,xcb01120,2,Interact,"XC_1587; XC_3473"
xcb01120,xcb00561,2,Interact,"XC_2445; XC_3421"
xcb01110,xcb00740,6,Interact,"XC_3088; XC_3537; XC_3538; XC_3539; XC_3541; XC_3810"
xcb00640,xcb00650,3,Interact,"XC_0204; XC_2943; XC_2975"
xcb00562,xcb01130,1,Interact,XC_1587
xcb01120,xcb00330,3,Interact,"XC_2445; XC_3311; XC_3421"
