ID,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12
Glycocholic acid,0.0818345650627504,0.0783369644823552,0.080004290184662,0.0821594041440366,0.0942233199740034,0.0989249170951549,0.0997144539561313,0.0760989777753841,0.0820994844976823,0.0684042642280223,0.0756823014060973,0.0825170571937203
D-Xylose,0.0796775482046011,0.0744832632548013,0.0815757194526605,0.0853286007106923,0.0965035533765105,0.0974729956527696,0.100488276832148,0.0721888568136094,0.0886192202223507,0.0623707858982219,0.0742580093480663,0.087033170233568
Dodecanoic acid,0.0794843784344644,0.0762802976279033,0.0790830840429622,0.0821775228210669,0.0958278799523717,0.0942477348775058,0.0979072494553513,0.0750599051769148,0.0868275306496209,0.0677694959300759,0.0743271590702074,0.0910077619615552
Phosphorylcholine,0.079035893016388,0.0757492997122575,0.0783204043323158,0.0814136416480094,0.0963923066297297,0.0954453371242428,0.0978939490061801,0.0747451379483475,0.0873852154879859,0.0673187372648891,0.0733839809246739,0.0929160969049802
Maleic acid homopolymer,0.0779988565428758,0.0722641591629416,0.0820752308564267,0.0889984642293964,0.099563851710983,0.0891478434196871,0.100523762832227,0.0708758213061225,0.0954531828785186,0.0590448272785885,0.0721965505240636,0.0918574492581692
2-Hydroxy-3-oxoadipate,0.0782544796644845,0.0749289015510916,0.0787945277276212,0.0822716221409099,0.096138597628456,0.0936688583406734,0.0980534305770289,0.0737901320603764,0.0891389534266356,0.0665867820506978,0.0738208922298835,0.094552822602141
N-Acetylglutamic acid,0.0852862666381115,0.0817488109823543,0.0815203155436037,0.0845066806550614,0.0922101905272696,0.0931004469436907,0.0952493160617974,0.0815182433570659,0.0809496433831231,0.0700539223209135,0.0760070621978981,0.0778491013891107
13S-hydroxyoctadecadienoic acid,0.0777049705403985,0.0735251726879633,0.0799049400373005,0.0850992928118923,0.0962431434834978,0.0898989591447342,0.0987573164210572,0.0723929439632929,0.0943566309613999,0.063032232266336,0.0728962972502841,0.0961881004318432
D-Lysopine,0.0947202251252863,0.0960110447182938,0.0891086667964068,0.0892542204252672,0.0727257684693521,0.0755943068438821,0.0790033974503604,0.0972064202688974,0.0711942223196142,0.0851402297324569,0.0896830782946718,0.060358419555511
Sphinganine,0.09131136029189,0.0918859442794946,0.093894922592777,0.09630907112993,0.0761357783734345,0.0656811926486185,0.0723711553976871,0.0968474764489735,0.0776155893890262,0.082746484126555,0.0883973417651377,0.066803683556476
gamma-Glutamylalanine,0.0933652686932394,0.0973174983347165,0.0948144772203255,0.0904804085752347,0.0713955869294362,0.0647411488583478,0.0679494675712084,0.0996511601391473,0.0663574579053974,0.0973417431532867,0.0982634603371857,0.0583223222824744
N-Acetylneuraminate,0.0948446071144978,0.099167314945321,0.0950451993413088,0.093062331556129,0.0639556498223365,0.061035573780857,0.0631853848321502,0.111277647049074,0.0714354490973526,0.0950017441941421,0.0942605202957913,0.0577285779710403
N-Acetylmannosamine,0.0880691206952876,0.087549035814079,0.0856216928243836,0.0856716114882767,0.0855264326656025,0.0812428830137003,0.0828114739494347,0.0881802617221877,0.0762600173862011,0.082322789611701,0.0835804899019578,0.0731641909271877
6-Keto-prostaglandin F1alpha,0.0948822409785377,0.101908761980767,0.0956176789602419,0.0908340885563884,0.0577728035291382,0.0597325312676781,0.060705816926274,0.111001076427722,0.0690012107022528,0.102215046747102,0.102913568374228,0.053415175549669
Protoporphyrinogen IX,0.0912299903820513,0.0983103171775584,0.0998679830393355,0.0955162908583883,0.061100657008421,0.054609961025537,0.058564019635841,0.108688709775792,0.0681210842109178,0.104461132204595,0.104214396614176,0.0553154580673872
N2-Succinyl-L-ornithine,0.0900317761808899,0.0974877333830878,0.0982787036172117,0.0979842882551052,0.0594841810591598,0.0553929467790482,0.0612127239613842,0.106725775319826,0.0712947124471953,0.100647148977218,0.106191276547649,0.0552687334722245
N-Formyl-L-glutamic acid,0.0901128752727755,0.0915869293501093,0.0853903234237471,0.0840527041185451,0.0743082677581354,0.082924302788906,0.0807323811021509,0.0917160893162794,0.0749280951915798,0.0892262727620244,0.0881997649938085,0.0668219939219385
6-Methylmercaptopurine,0.0878538491150408,0.0892532076668579,0.0846998859159386,0.0844834305852382,0.0753881829508257,0.0812334157206404,0.080637677024138,0.0907571630837424,0.0790747658890279,0.0885833530755856,0.0865686360676511,0.0714664329053133
4-Guanidinobutanoic acid,0.0890175582043939,0.0917920828136392,0.0973505780153829,0.0971823243936467,0.0689789846680341,0.0609502316348274,0.0656757389110029,0.0987773330242988,0.0775620356131038,0.0914105508038602,0.0964802025103793,0.0648223794074309
Dehydroascorbate,0.0949793530459243,0.097613330258353,0.0927699961581994,0.0945763932069758,0.0688831152744194,0.0666878511939167,0.072988357765987,0.102462318952629,0.0719410655477081,0.0861231254064157,0.0923991305570362,0.0585759626324352
Adenine,0.0949577046192575,0.10318925093785,0.0916657359031706,0.0877032893071557,0.0623095343559838,0.0612478163701454,0.0637775829095271,0.110445187700685,0.0647632767864623,0.107499988568396,0.0987559085503847,0.0536847239909817
Gluconolactone,0.0888374665888738,0.0897607699506972,0.0847042887844629,0.0835491648847019,0.0754457768342296,0.0847768377540292,0.0814390011010338,0.0899757869392345,0.077228082531138,0.087715887608668,0.0867414554591188,0.0698254815638123
Allantoic acid,0.0980855373324472,0.105989999690599,0.0931214278894333,0.0880789060009249,0.061051325262971,0.0627284522902315,0.0648666902457833,0.108363027823701,0.0631475264617633,0.101694790565559,0.101510693913268,0.0513616225233198
Imidazol-5-yl-pyruvate,0.0853755292703242,0.082501602820737,0.0864072047294958,0.0865438278769473,0.0839198004032843,0.0824073280160685,0.0792795883703385,0.0834431074751026,0.0891741659138123,0.0749811611930837,0.080207736343385,0.0857589475874209
L-Glutamic acid,0.0785006643497046,0.0747352932328971,0.0788390543238604,0.0871451309771265,0.0843890113342922,0.0839276154840763,0.091284924060008,0.0782623209385983,0.110327113275523,0.0638298688677343,0.0710308903176507,0.0977281128385287
Nicotinic acid,0.0792718387824475,0.0765668144581706,0.0842604997452909,0.0930188931389561,0.0767897023663366,0.075980394972441,0.0850507470103288,0.0792382263655393,0.114486694503607,0.0669773442561149,0.0779125074028032,0.0904463369979645
Mannitol,0.0767296623771435,0.0744036664265283,0.0791375090872023,0.0847294878546278,0.0855742312267115,0.084904269237614,0.0919514714519575,0.0755655700656633,0.102573130707111,0.0680692883203362,0.0749703013984455,0.101391411846659
L-Serine,0.073309969903507,0.0698391573707777,0.0771460421283571,0.0853198287124356,0.0852071443811131,0.0800655045561498,0.0900547217274306,0.0714944539165365,0.120523573120564,0.0610049514900682,0.0697752215020793,0.116259431190981
Vanillylmandelic acid,0.0735938426475119,0.0685952111165193,0.0782409588244348,0.0914110435016804,0.0831812179682726,0.0720319487915518,0.0827614880483381,0.0732138393994746,0.143211628019878,0.05620656832099,0.066033092062274,0.111519161299075
pantothenic acid,0.0842656349163109,0.0831329208789692,0.0863173042411478,0.09496533834698,0.0763563796661786,0.0729832820150768,0.0832037892694699,0.0884207303132302,0.0970249861870307,0.0735854813211662,0.0812926010781226,0.078451551766317
Homovanillic acid,0.0806753060521777,0.0754015539269277,0.0856644300412508,0.0916434502529191,0.0903490451495061,0.0859341180277038,0.0939015259404488,0.074018156510539,0.0965300489978476,0.0623123191854477,0.0764947594614636,0.0870752864537681
N6-Acetyl-N6-hydroxy-L-lysine,0.0834303376688545,0.0811513925611062,0.0871039402719726,0.094673785235759,0.0804056141912826,0.0731344562127137,0.07996261213692,0.0870081977634196,0.097798974042113,0.0720696709720163,0.0798062836063581,0.0834547353374845
Formylanthranilic acid,0.0764154842131362,0.07164484956623,0.0782733017030602,0.0861756236263045,0.0822507395852069,0.0843321589942468,0.0876296477667126,0.0742565807325654,0.123956654804792,0.0600561213326103,0.0688916196815851,0.10611721799355
Pantothenic acid,0.0780010378651659,0.074475953879331,0.0793267277803009,0.0830424699457387,0.0851866326627635,0.0896874032805718,0.0879697806932403,0.0751852800788913,0.103947094948379,0.0663169359496294,0.0731752702188476,0.10368541269714
Fumaric acid,0.0846453959231625,0.082893885281481,0.0838200071055086,0.0898683921593694,0.078593588177396,0.0800713706357323,0.085654337512916,0.0873689041723833,0.0941889655333465,0.0736084216694173,0.0790982038626825,0.0801885279666047
Dimethylglycine,0.0830097545843693,0.0804712323154697,0.0822964826320036,0.0885894969422258,0.0808355981838971,0.0824285969385084,0.0877681937080631,0.0841569640235976,0.0981525268440695,0.0705204871008702,0.0764864007026301,0.0852842660242957
L-Aspartic acid,0.0821671323209226,0.0790277385524443,0.0823720632976702,0.090500953358737,0.0805273794211397,0.0803669359021634,0.087504583013606,0.0834591482699007,0.10416377170658,0.0677571469738556,0.0750752837061063,0.087077863476874
Creatinine,0.0778873569073822,0.0751543664011757,0.0811046153637876,0.0851020247617417,0.0852211382201852,0.0839440514734863,0.0868505382068816,0.0757587559367018,0.102316070799204,0.0685503955577862,0.0759593875022282,0.102151298869439
Malonate,0.0732736258437301,0.0690623501250806,0.0772621448557116,0.0900919061712365,0.0833068339434959,0.0742826190046958,0.0880096486521199,0.073186685027008,0.136452021330287,0.0577168583033533,0.0671988029849543,0.110156503758327
N-Acetyl-alpha-D-glucosamine 1-phosphate,0.0823621009045307,0.0801535428090125,0.0815499375149482,0.087272796772823,0.08209082429068,0.0841031107523399,0.0887000117616186,0.0837850083328566,0.09566979017611,0.0716864849713685,0.0767521711008159,0.0858742206128961
Arbutin,0.068652293483693,0.0642861891617133,0.0717350793019298,0.0823390691959905,0.0840677153915689,0.0791018300796879,0.0908061485859212,0.0670574304177109,0.143913725581154,0.0540453944384889,0.0627186924010851,0.131276431961056
Resveratrol,0.0814807264029789,0.0776568787850545,0.08256332952543,0.0859808852908852,0.0831401306516395,0.0858525026145,0.0838695660942952,0.079156132171134,0.102001240063171,0.0680292632815342,0.0751340497952084,0.0951352953241692
beta-D-Fructose 6-phosphate,0.077076222662792,0.0740906010670833,0.0785501220208886,0.0864506226344826,0.0840585186972304,0.0843535385261164,0.092893966166521,0.0770363102823755,0.108570506460292,0.065348599540506,0.0726717458119563,0.0988992461297555
Mesaconate,0.0787539167859945,0.0742464803752988,0.0839733334808232,0.0932635998037601,0.092764436561421,0.0798266956920061,0.0956080514256695,0.0742951268705816,0.0999290226288821,0.0617823094129773,0.0747135387048154,0.0908434882577705
S-Glutathionyl-L-cysteine,0.0948200599818102,0.111612893483194,0.090203834875614,0.0787814815905047,0.0545965380395556,0.0534462789878133,0.054933725004038,0.10938047112488,0.050726789595593,0.1439980820474,0.114631638014853,0.0428682072547446
L-Carnitine,0.0992084317213814,0.10904971779934,0.0936058585652998,0.0824604508120782,0.0612342082805589,0.0616980281987474,0.0612459922358402,0.105015192990136,0.0548443009048674,0.114991936435446,0.109632642311768,0.0470132397445377
Cytosine,0.0890915176522259,0.0989350450696683,0.0934524683392843,0.0865312447068065,0.0604692229995623,0.0560374337904586,0.0588704577122967,0.104513690117971,0.063236349861464,0.127613259490866,0.107470821955901,0.053778488303495
L-Kynurenine,0.0899263907376902,0.10332082688407,0.0897544704008812,0.0782810828988537,0.0557715419337251,0.0548483610522112,0.0552431929635252,0.102012087730391,0.0547334659808616,0.155831680253446,0.113327423917448,0.0469494752468963
Deoxycytidine,0.0888176981747892,0.10189349418991,0.0928025018035365,0.0843504987918837,0.0532675542726914,0.0516099595781909,0.0535306621391954,0.112628899404031,0.0584976073092493,0.141449079608366,0.113782397943118,0.0473696467850392
