"","mz","rt","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","M1","M2","M3","M4","M5","M6","M7","M8","X1","X2","X3","X4","X5","X6","X7","X8","H1","H2","H3","H4","H5","H6","H7","H8","H9","A1","A2","A3","A4","A5","A6","A7","A8","L1","L2","L3","L4","L5","L6","L7","L8","L9"
"Deoxycytidine",228.0988538,103.679,1017.97568037232,849.29876591716,329.422206283127,1217.34794613247,256.761523420873,1315.4161215625,1138.85708757294,246.604166903555,318.630671229735,221.252583319013,1098.4304993378,1360.56008661414,252.394488826021,1348.03496033127,303.88562328104,262.511570412175,1087.93316233305,877.639624415545,319.757794250334,1151.89847298199,264.638040844347,305.493272826911,573.73886829488,306.56502319085,1336.70097021067,1104.37191063788,985.244797369793,1155.12236294989,203.969772204048,319.801769113959,892.781297139987,221.053158805135,915.477721382334,983.056436270984,858.14777025382,276.728679243745,1070.44250640091,283.532193921519,1885.21042963753,322.61957561496,708.182009795804,1818.46905437306,1438.85124161772,1088.89430735196,289.187419532753,1215.75401712894,271.623600088568,1735.29822336988,808.268503089063,520.707277932207,310.264816846872,268.584941893055
"N-Acetylserotonin",219.1133697,457.4895,372.665323209968,362.055590976388,474.256038757123,310.074973841567,251.50912544542,414.085792031525,477.799247525844,317.899867015031,84.907862996171,535.29845723931,387.034682846164,343.317856213969,363.155160999357,401.437023479789,439.965493861801,358.53164902661,505.83851951644,362.886129188319,344.29620460171,312.950354339317,52.1380095871977,284.702877058275,277.843444933752,417.501967228609,66.8592178066706,612.9512531261,683.93480163664,508.163763027728,318.229420560048,506.004841850633,397.364217035531,551.731010898978,416.20138792393,707.213416060824,410.678854677563,636.306256392091,816.072632545132,545.929861925679,399.992464230446,264.648990869926,426.470687126155,1298.02355548126,584.162709382794,617.085368522234,78.265628503727,418.826875576642,353.134824360752,425.758552755547,61.2326950322138,759.048970833342,521.300806801177,386.368555606214
"Creatine",132.0768027,96.6068,330.560882130341,318.573004383206,478.316199143415,489.909163686818,334.560467234096,479.577300736096,398.012303872745,322.433615838557,395.688801508067,426.796465710478,385.411466674105,437.987958691972,412.728108559136,420.569333863477,488.348073540816,417.164504514109,436.10240709798,414.465596101324,351.920742178863,358.088158800801,408.800146083171,405.448224007542,344.673532276355,392.963150877592,422.511736540696,390.111157055109,353.027575498431,225.731352125588,300.179001086504,225.337830762318,380.459586558194,342.033776894034,313.50760843383,405.176805215255,330.09242363669,359.390428033599,384.415150325081,347.004979544827,342.505373501924,404.266658508094,371.754176365628,344.82497455745,366.176337384822,353.82580267367,381.170767194548,420.477837469546,383.058331335136,294.553384925531,328.111284478439,289.467574440553,272.788979764908,345.043221252387
"Spermidine",146.1658662,67.3388,219.862372068994,317.587674154064,394.498207126331,211.553918875284,177.34014607516,276.796187788732,251.494508424579,277.794244273399,254.79784573643,313.657605440111,209.77865514397,229.59316505234,372.271693459405,207.781800806589,273.867149986315,193.781996303725,236.163464244283,173.581369594451,205.260957202019,224.235218265207,170.276362513823,322.745702788693,285.128492203712,362.177258657834,272.459064712386,198.27680889789,265.947314005026,190.054821296875,313.540331952274,186.657928866813,259.233035835498,235.139440682003,258.950058549539,326.221922394741,265.573534678365,205.052123696704,199.131716224704,221.582230813811,478.700827411912,268.279230939541,93.5550352693484,361.485734270038,185.496322133487,222.027017523372,276.490709299788,196.20567616999,216.506401714558,320.612575227179,143.744776561897,179.449214983171,232.504450376301,249.018769167636
"L-Methionine",150.0590088,130.349,187.908224673023,245.533868050015,407.376760420959,321.575596280693,278.24807470591,335.656464646299,204.538753414353,269.6040433022,311.256569359968,254.820496551762,237.013212249509,262.955763416044,286.137262741827,251.398678732677,276.941111541637,265.312886061658,137.91589382324,184.774895392115,262.876340806031,230.410581109354,229.693789349952,308.504334685618,153.856201089436,226.111535533623,227.481810783771,171.614016297624,37.9524904310916,99.6006364196296,153.126180713849,108.483320519744,153.531094815935,153.564642664591,114.311840181059,182.48517082275,138.774223497139,204.517616714264,216.496740555214,147.737253658897,245.543082213208,232.01235357556,143.481662052911,249.931298580029,198.562213158927,109.506470659534,202.112995392686,119.145983925248,117.60263116363,181.334439252893,120.633579933954,171.128465741702,210.129462978406,183.60734182168
"Citrulline",174.0866497,93.7614,398.391909759755,580.444886967888,720.601829266741,505.874593679395,415.395516777571,2071.43692660647,624.322083416164,377.432833700829,665.492809108982,464.174904115533,1707.89338211908,608.478388915558,490.585207025354,554.201527918922,1473.33760946567,670.680466923552,1616.05754287323,598.794616181853,1646.67489088336,676.049952630337,2121.53412104023,623.216333088488,1960.2793721647,650.640222983241,475.611573201064,1473.4897131582,458.952793871427,223.203944816124,362.926807067805,208.065922921663,454.850732520321,1223.00815173807,334.198302159935,1191.22468481522,308.376348326011,1379.08606219752,384.402634544452,1008.32562500812,534.640546667299,245.620750275888,197.667681541567,924.313524239085,1123.57174451658,221.735891421284,1186.99321342386,307.170657240331,175.822763950883,309.788428848684,200.356882607209,290.829009712181,348.526233544865,993.740056195535
"Methyl beta-D-galactoside",193.9884936,215.844,183.294298140426,221.294541973673,194.445028890392,203.340563233123,334.860696999851,131.85015242869,229.802716977562,308.217615527061,231.45229007936,118.768042621225,149.696446895855,146.807219796908,252.308426767509,173.030756385952,195.489035164872,167.059006731748,110.227846772475,95.5351942122927,242.267828141166,162.204231823608,159.579834458012,192.863608331061,229.338259048751,335.831324242547,144.960558608908,111.183281803103,102.363246525255,338.78335831349,378.534615091645,306.64206182123,107.92063506067,143.656425885058,217.221148910128,70.8593572555106,249.124878777081,177.716660960848,128.46202747219,189.036554980746,284.546133264944,120.724977193326,116.365679494671,274.532227295217,196.408256434521,120.649483740534,186.92807064037,132.051775790697,158.115434563737,355.429518110361,181.2393943225,237.653419496477,214.606154584803,122.339609092473
"Pipecolic acid",130.08654,103.769,87.8721349735423,97.1617333135774,73.7461218891171,133.05180566869,80.3450622266727,55.9837832638249,84.7836594165171,78.5462875116949,94.3085921936158,105.434332544878,84.9520443450027,57.9727164703433,110.068510188095,139.716053985737,282.132703648653,117.875865782865,92.0912545256033,97.4535686440569,224.105504989413,171.735678667421,118.992122455633,178.982875127657,200.460119092396,245.810409604906,156.958924041129,159.743618193429,195.440486792643,215.03871116655,212.715388728682,206.298157560626,196.310370643578,169.978687415915,173.325017418465,191.783947903437,222.564959957115,274.959896382318,204.174345944958,268.952374645432,309.691138587549,259.232290571494,268.099908280059,145.513981821003,193.108705709186,114.973662192784,166.92985800337,189.896868969458,147.299407162953,160.303557506954,141.769425044935,166.244995542752,154.928859451667,137.722133170873
"beta-Alanine",90.0560261,96.5805,122.343028995171,121.016455860149,181.591034094677,181.72253421598,137.911289639039,184.329720849788,144.603219602549,120.733308601939,147.618404588828,169.705559153093,149.57408413715,157.839593416792,168.89101786595,169.034071328057,192.175741540828,166.834176252434,162.647432387595,160.251369286159,111.490310887514,135.086084992441,156.389780002624,154.057415088393,125.918845462475,146.807770056975,151.122802473186,141.141034242998,133.978893922916,80.9877353004835,110.457727045877,81.2219665117482,134.026576681942,130.968163080499,112.947466101115,153.838399003332,116.240255724157,124.801395938747,137.904365539476,124.008481598836,121.560363820988,157.414979294136,135.339832270994,127.210575581873,132.660295140649,132.067681948684,140.875882670258,160.090194536333,132.521877090445,119.186206916757,117.762892681261,104.454025836133,102.755304729924,125.060490290906
"L-Lysine",147.1136046,76.2103,123.014729820333,162.163536916665,155.744050808006,159.472975947894,146.231218564282,166.016599468294,114.528144947025,134.006783713403,141.745436438316,127.594950935338,105.425388569134,131.211937151516,126.954727681981,80.732296687768,138.540504837553,102.431169453614,125.33120009768,65.5057910945464,120.461778795908,89.9404761766652,92.112392001704,156.163110749572,110.865072389791,115.486348608958,112.167150131032,71.59095546698,56.084180064071,39.2518126526251,61.8857381816883,52.3284990184599,54.6851432803429,63.3605804042616,49.5817704546851,77.6162589854218,52.6122708240974,120.838693727676,94.3888039246882,71.2602753374191,138.523438985004,130.053250093141,50.6667330644651,163.863832796361,117.732902547565,52.8235499933394,81.0487358150405,61.807867940324,54.7780238714406,90.3684489946159,63.6131669424927,151.640735894932,132.060734668771,86.7391489194797
