koid	org	name	op	definition	source
KO00142	224308	pub-yacF	BSU00740,BSU00750,BSU00760,BSU00770,BSU00780,BSU00790,BSU00800,BSU00810		9084182
KO00143	224308	guaB	BSU06360		1722815
KO00144	224308	bmrUbmrbmrR	BSU24000,BSU24010,BSU24020		10220166
KO00145	224308	ktrC	BSU14510		12562800
KO00146	224308	gcaD-prs-ctc	BSU00500,BSU00510,BSU00520		8522540
KO00147	224308	yxeKLMNOPQ	BSU39460,BSU39470,BSU39480,BSU39490,BSU39500,BSU39510,BSU39520		10746760
KO00148	224308	yxaGH	BSU39970,BSU39980		10746760
KO00149	224308	wpra	BSU10770		9004506
KO00150	224308	mutSL	BSU17040,BSU17050		8760914
KO00151	224308	bglPH	BSU39260,BSU39270		12169607 11491085 10048041 9513271 11361076 7883710 8990303
KO00152	224308	spoIIGAB	BSU15310,BSU15320		
KO00153	224308	ktrD	BSU13500		12562800
KO00154	224308	yxkFmmsX	BSU38810,BSU38820		10746760
KO00155	224308	codVWXY	BSU16140,BSU16150,BSU16160,BSU16170		7783641 8682780 11179218
KO00156	224308	guaA	BSU00090		1722815
KO00157	224308	yxjCDEF	BSU38970,BSU38980,BSU38990,BSU39000		10746760
KO00158	224308	kinBkapB	BSU31450,BSU31460		9426145 8576055 8497199
KO00159	224308	pyr	BSU15470,BSU15480,BSU15490,BSU15500,BSU15510,BSU15520,BSU15530,BSU15540,BSU15550,BSU15560		8206848 11726695
KO00160	224308	gntRKPZ	BSU40050,BSU40060,BSU40070,BSU40080		1659648 8932314 9457849
KO00161	224308	ftsAZ	BSU15280,BSU15290		10878122 1569582 1551857
KO00162	224308	metIC	BSU11870,BSU11880		11832514
KO00163	224308	gapA	BSU33940		11489127
KO00164	224308	motAB	BSU13680,BSU13690		8200532
KO00165	224308	rpoDdnaGyqxD	BSU25200,BSU25210,BSU25230		
KO00166	224308	bglPHyxiE	BSU39250,BSU39260,BSU39270		10746760
KO00167	224308	drm-pupG	BSU23490,BSU23500		10537218
KO00168	224308	speE	BSU37500		9723923
KO00169	224308	ars	BSU25780,BSU25790,BSU25800,BSU25810		9537360
KO00170	224308	gde	BSU13170,BSU13170		12029039
KO00171	224308	pub-trpG	BSU00740,BSU00750		9084182
KO00172	224308	rib	BSU23240,BSU23250,BSU23260,BSU23270,BSU23280		9068650
KO00173	224308	sigWybbM	BSU01730,BSU01740		9683469
KO00174	224308	sucCD	BSU16090,BSU16100		11976317
KO00175	224308	ureABC	BSU36640,BSU36650,BSU36660		12374841 9287005 9150240
KO00176	224308	pbpB	BSU15130,BSU15140,BSU15150,BSU15160		8636036
KO00177	224308	ywfBCDEFG	BSU37690,BSU37700,BSU37710,BSU37720,BSU37730,BSU37740		12372825
KO00178	224308	nrdEF	BSU17380,BSU17390		8969495
KO00179	224308	ybdABDE	BSU01950,BSU01960,BSU01970,BSU01980		11731129
KO00180	224308	gerC	BSU22740,BSU22750,BSU22760		9720033
KO00181	224308	cwlF	BSU09420		9573210
KO00182	224308	tagDEF	BSU35720,BSU35730,BSU35740		9457886 7581998 1906926 10648531 11882717
KO00183	224308	yxdJK	BSU39650,BSU39660		10746760
KO00184	224308	ydaG	BSU04220		10220166
KO00185	224308	trpEDCFBA	BSU22630,BSU22640,BSU22650,BSU22660,BSU22670,BSU22680		9383185 12161562 11566991 10714985 10482516 9685405
KO00186	224308	narK-fnr	BSU37310,BSU37320		8682783 9352926
KO00187	224308	hbs	BSU22790		1382620
KO00188	224308	ybbB	BSU01640		12354229
KO00189	224308	dnaA-dnaN	BSU00010,BSU00020		11395445
KO00190	224308	sacPA	BSU38040,BSU38050		11491085 1577686 9305764 2163394 7883710
