geneID,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
"1,25",0.029656261,0.007622196,0.177259216,0.016453089,0.007202852,0.40311918,0.022416409,0.033929871,0.064973668,0.211633099,0.008208044,0.009410575,0.008115542
"1,27",0.067763296,0.009558052,0.149321348,0.011349813,0.011098127,0.351826217,0.010684644,0.067349813,0.072107865,0.203637453,0.02550412,0.00807191,0.011727341
"1,29",0.070729976,0.017792267,0.143414816,0.007681111,0.011825422,0.361421216,0.005882636,0.060089503,0.062050381,0.203642663,0.018273464,0.031626687,0.005569858
"1,31",0.101615506,0.011607887,0.146355363,0.009364296,0.010648062,0.354703444,0.009994181,0.030912374,0.056557706,0.198773823,0.054446091,0.008050535,0.006970731
"1,33",0.141166251,0.018361712,0.068905854,0.01083341,0.015522708,0.28820825,0.034308152,0.032768593,0.055593613,0.243765846,0.064569665,0.018036851,0.007959096
"1,35",0.072277385,0.011889277,0.117650867,0.005791608,0.011436072,0.358385177,0.016180011,0.073642886,0.082842361,0.191811702,0.015238286,0.033649007,0.009205361
"1,37",0.12581336,0.009235192,0.094428961,0.009616569,0.01514947,0.342324053,0.009082641,0.053650952,0.089512131,0.189597207,0.02000176,0.017361457,0.024226245
"1,39",0.093421482,0.011502772,0.15392962,0.01079126,0.012071981,0.362592274,0.010643029,0.026521597,0.062512229,0.201007975,0.033138656,0.010571878,0.011295248
"1,41",0.038448876,0.014863546,0.189556608,0.012451138,0.010864815,0.387906832,0.008661922,0.031810264,0.05697593,0.201163703,0.034300491,0.007578433,0.005417442
"1,43",0.054117402,0.017129324,0.098865389,0.017447553,0.016694818,0.359850432,0.01199481,0.049117525,0.130633277,0.208575065,0.019981151,0.007001053,0.008592201
"1,45",0.023425299,0.021647199,0.188104276,0.025180003,0.01577479,0.370716329,0.031918067,0.027794512,0.048845112,0.205317923,0.023559827,0.005468828,0.012247834
"1,47",0.058485619,0.011414212,0.14296804,0.018245489,0.008286086,0.364881028,0.025278024,0.034300139,0.086926271,0.194461376,0.041689188,0.00543397,0.007630559
"1,49",0.103212404,0.008171604,0.13907794,0.015396357,0.007408385,0.344905946,0.023952439,0.031768257,0.080057614,0.190999759,0.041850776,0.00628938,0.006909137
"1,51",0.0384341,0.01651507,0.158296177,0.010385827,0.012912431,0.373806551,0.006854527,0.038499495,0.096415195,0.203287557,0.016342667,0.018583913,0.009666488
"1,53",0.032686415,0.014557236,0.162855549,0.015866948,0.012526868,0.401636827,0.029941658,0.032899478,0.058091078,0.217004957,0.007551214,0.005301516,0.009080256
"1,55",0.154187192,0.009542259,0.105656722,0.018879725,0.00882825,0.319400011,0.025145293,0.047185476,0.0964687,0.186024243,0.006365196,0.004012841,0.01830409
"1,57",0.14082283,0.007906783,0.151232193,0.011600796,0.008385637,0.333316231,0.024381623,0.044413661,0.058938883,0.193992669,0.011258758,0.005974267,0.007775669
"1,59",0.101970261,0.00976017,0.1416577,0.015880855,0.010783224,0.353606265,0.023988852,0.031844025,0.087353524,0.198431317,0.011853315,0.006643971,0.006226518
"1,61",0.030880396,0.010225705,0.169303174,0.012320126,0.015529519,0.407944017,0.008359206,0.035857727,0.063140647,0.207723487,0.017161936,0.013379657,0.008174404
"1,63",0.065749016,0.016810828,0.106830656,0.00993132,0.00490244,0.326227765,0.028443346,0.093859019,0.107991609,0.192252651,0.008546223,0.005385212,0.033069916
"1,65",0.074106874,0.009138823,0.166472943,0.012730392,0.00826553,0.373529394,0.027354969,0.029409051,0.055195784,0.209577929,0.020946723,0.006088449,0.007183139
"1,67",0.095408756,0.010212854,0.141218278,0.009976753,0.01152654,0.361342503,0.009795138,0.034858098,0.088356015,0.20698736,0.014329475,0.008687282,0.007300949
"1,69",0.112853042,0.006824624,0.149263073,0.006367242,0.023254274,0.362986947,0.010567936,0.028074842,0.059224978,0.211533253,0.011771574,0.007781516,0.009496699
"1,71",0.114306078,0.004480008,0.14305479,0.005887497,0.023843463,0.333035864,0.008283223,0.032803479,0.084766776,0.209733835,0.012559594,0.012571572,0.014673822
"1,73",0.061087567,0.009434507,0.062675381,0.010629698,0.011149347,0.270863887,0.009399864,0.223044678,0.116378166,0.182771921,0.027472083,0.008343245,0.006749656
"1,75",0.076843534,0.007584992,0.100517027,0.009115855,0.014811819,0.330233096,0.007740966,0.079789723,0.121492736,0.187290951,0.03497877,0.017965974,0.011634557
