genes,logFC,logCPM,F,PValue
SK_0400,-1.151091745,6.260868,6.44E+00,3.93E-02
SK_0401,-0.037628517,5.954161,1.04E-02,9.40E-01
SK_0402,0.784594046,5.973679,4.48E+00,1.23E-01
SK_0403,-0.208286285,5.761796,2.36E-01,6.59E-01
SK_0404,0.418120832,11.505811,2.91E+00,5.61E-01
SK_0405,0.330746939,6.088313,6.84E-01,5.28E-01
SK_0406,-1.234021555,12.459296,1.90E+01,4.55E-02
SK_0407,-0.430091193,6.036752,9.84E-01,4.05E-01
SK_0408,0.53469429,11.531843,4.23E+00,4.57E-01
SK_0409,-0.447743958,6.226059,5.34E-01,4.86E-01
SK_0410,-1.086611049,6.713339,2.13E+00,1.83E-01
SK_0411,-0.7966413,5.741006,4.36E+00,9.11E-02
SK_0412,-0.118399411,6.302272,3.99E-02,8.47E-01
SK_0413,-0.12488668,5.882511,9.69E-02,7.99E-01
SK_0414,-0.284335212,10.134198,1.09E+00,6.94E-01
SK_0415,-1.595931383,5.670751,7.50E+00,2.59E-02
SK_0416,0.992717087,6.329696,3.56E+00,9.64E-02
SK_0417,0.099509685,6.282568,1.79E-02,8.97E-01
SK_0418,-0.673522613,6.061344,1.38E+00,2.75E-01
SK_0419,-0.843778289,5.95128,2.22E+00,1.75E-01
SK_0420,-0.677268468,11.746572,4.72E+00,3.32E-01
SK_0421,-0.242934332,6.035742,1.76E-01,6.86E-01
SK_0422,-0.537623574,6.116478,1.39E+00,3.10E-01
SK_0423,-0.182569252,7.845181,8.95E-02,8.05E-01
SK_0424,0.836157483,6.971177,1.54E+00,2.50E-01
SK_0425,-0.818899904,6.343769,1.70E+00,2.29E-01
SK_0426,-1.445844302,5.92841,1.21E+01,8.63E-03
SK_0427,0.303306775,6.442301,1.51E-01,7.08E-01
SK_0428,-0.533925907,6.328687,1.54E+00,3.44E-01
SK_0429,0.019336628,5.601999,5.11E-04,9.83E-01
SK_0430,-0.778450608,6.000682,2.28E+00,1.70E-01
SK_0431,-0.204082652,6.373854,1.63E-01,7.20E-01
SK_0432,-0.537129376,6.149455,1.17E+00,3.16E-01
SK_0433,-0.254127088,5.905438,3.41E-01,6.08E-01
SK_0434,-0.300194308,6.62067,3.47E-01,6.22E-01
SK_0435,-0.914641819,6.229236,3.90E+00,9.69E-02
SK_0436,-0.402932516,5.979585,7.83E-01,4.27E-01
SK_0437,-0.100250391,11.417333,1.87E-01,8.90E-01
SK_0438,-0.099620022,5.987122,6.57E-02,8.45E-01
SK_0439,-0.178413154,6.539239,1.33E-01,7.65E-01
SK_0440,-0.169258155,6.69316,9.33E-02,7.85E-01
SK_0441,-0.155059719,11.647897,3.40E-01,8.26E-01
SK_0442,-4.794750878,10.450514,7.33E+00,2.72E-02
SK_0443,-1.38837757,6.736833,3.39E+00,1.04E-01
SK_0444,-0.058977856,10.076914,6.08E-02,9.34E-01
SK_0445,0.319233864,6.256505,2.90E-01,6.05E-01
SK_0446,-0.553590137,9.440783,4.52E+00,4.05E-01
SK_0447,-1.061337805,11.889504,1.27E+01,1.23E-01
SK_0448,0.972798286,6.373531,5.63E+00,9.05E-02
SK_0449,0.326052737,6.297281,3.77E-01,5.59E-01
SK_0450,-0.657271897,6.142894,1.59E+00,2.43E-01
SK_0451,0.651121471,6.17767,1.20E+00,3.05E-01
SK_0452,0.629095398,7.336898,1.36E+00,3.78E-01
SK_0453,-0.658380811,6.290867,1.72E+00,2.39E-01
SK_0454,0.354548945,6.004356,3.78E-01,5.56E-01
SK_0455,0.293895,5.936613,4.21E-01,5.57E-01
SK_0456,0.216029983,8.873593,7.80E-01,7.42E-01
SK_0457,0.895828485,5.974726,3.64E+00,9.33E-02
SK_0458,0.184613878,9.50649,5.46E-01,7.82E-01
SK_0459,-0.187699486,10.098466,2.09E-02,8.89E-01
SK_0460,-0.557021215,10.19417,3.98E+00,4.44E-01
SK_0461,-0.587458437,6.378378,1.70E+00,3.04E-01
SK_0462,-0.763882148,6.687394,9.83E-01,3.51E-01
SK_0463,0.048513623,6.398366,6.76E-03,9.37E-01
SK_0464,-0.361234883,6.613641,4.76E-01,5.52E-01
SK_0465,-0.324801116,13.463875,8.30E-01,4.91E-01
SK_0466,-0.873256731,6.406252,2.62E+00,1.45E-01
SK_0467,-0.876724903,5.708745,4.07E+00,7.91E-02
SK_0468,0.19045849,6.208979,1.41E-01,7.26E-01
SK_0469,0.200174578,6.380529,1.77E-01,7.26E-01
SK_0470,-0.647745323,9.831285,3.09E+00,3.52E-01
SK_0471,-0.18455678,6.020389,1.38E-01,7.20E-01
SK_0472,-0.413584843,6.291617,6.23E-01,4.58E-01
SK_0473,-0.034690299,10.189259,2.08E-02,9.62E-01
SK_0474,-0.966232563,6.231967,1.75E+00,2.23E-01
SK_0475,-0.143334305,10.671911,3.68E-01,8.49E-01
SK_0476,-1.331631194,8.530219,4.45E+00,6.85E-02
SK_0477,0.597772418,7.096167,6.84E-01,4.32E-01
SK_0478,-0.992317738,9.266211,6.37E+00,1.33E-01
SK_0479,0.139930853,8.326104,2.35E-01,8.43E-01
SK_0480,0.196846198,6.31841,8.38E-02,7.80E-01
SK_0481,1.551698148,6.550577,1.02E+01,1.32E-02
SK_0482,-0.672557284,6.453778,8.89E-01,3.74E-01
SK_0483,0.603296973,6.059774,1.08E+00,3.29E-01
SK_0484,-0.264018217,6.499188,4.19E-01,6.54E-01
SK_0485,-0.681720552,5.697267,1.41E+00,2.69E-01
SK_0486,-0.90362331,10.318194,1.42E+01,2.23E-01
SK_0487,0.336725521,8.718174,1.78E+00,6.14E-01
SK_0488,-0.563066888,8.196703,3.29E+00,4.36E-01
SK_0489,-0.301755301,8.366071,7.00E-01,6.68E-01
SK_0490,0.086169005,8.320747,7.39E-02,9.03E-01
SK_0491,-2.607352117,8.761613,4.24E+01,2.16E-04
SK_0492,-1.191082454,6.720894,4.35E+00,7.11E-02
