samples,Bacteroides,Prevotella,Eubacterium,Faecalibacterium,Alistipes,Ruminococcus,Escherichia,undef,Roseburia,Bifidobacterium,Parabacteroides,Blautia,Clostridium,Butyrivibrio,Dialister,Coprococcus,Odoribacter,Klebsiella,Akkermansia,Streptococcus,Lactobacillus,Dorea,Capnocytophaga,Phascolarctobacterium,Sutterella,Veillonella,Fusobacterium,Bilophila,Collinsella,Megasphaera,Haemophilus,Acidaminococcus,Paraprevotella,Methanobrevibacter,Desulfovibrio,Enterobacter,Parasutterella,Mitsuokella,Coprobacillus,Eggerthella,Holdemania,Pseudoflavonifractor,Enterococcus,Anaerotruncus,Shigella,Oxalobacter,Anaerostipes,Pyramidobacter,Subdoligranulum,Citrobacter,Victivallis
MH0070,0.122029252,0,0.034045064,0.012725492,0.013765021,0.003734821,0.000198715,0.002855035,0.015554319,0.000831808,0.005925615,0.001996003,0.000184884,0.147070144,0,0.005141457,0.002026002,0,4.13E-05,0.001506275,0.000844769,0.00236059,0.002660519,1.53E-05,0.001671419,0.000555722,0,0.000264077,9.92E-05,2.79E-05,0.00037536,0,0.000589518,0.000774056,0.001026417,0,1.62E-05,0,0,0,2.86E-05,5.68E-05,0,0,0,0,1.45E-05,0,5.50E-05,0,0
MH0450,0.104422408,3.30E-05,0.019337714,0.02196775,0.020544726,0.043625821,0.003363045,0.004024961,0.013972021,4.49E-06,0.018019587,0.005111205,0.000758984,0,0,0.011936054,0.003492109,0,0.00468846,0.000423083,0,0.009005911,0,0,0.008757074,4.93E-06,4.91E-06,0.001594963,0.002485138,0,1.87E-05,0,0,0.000678855,0,0,6.71E-05,0.008637786,1.00E-05,8.31E-05,5.57E-05,0.000258544,0,2.47E-05,0,0,0,0,7.79E-05,0,0
MH0115,0.123572017,3.82E-05,0.03879053,0.031395126,0.014206341,0.008419994,6.85E-05,0.003661938,0.00177206,0.007096046,0.002244857,0.000777489,0.003885525,0.01903743,7.80E-06,0.022606224,0.003470639,1.50E-05,1.56E-05,0.009233036,0,0.001337843,0.003748283,8.71E-06,0,0.007904196,0,0.000420337,0.000302921,0,0.005793705,0,0.00046754,0.008666711,0,0,0,0,0,7.02E-06,4.06E-05,7.12E-05,0,0,0,7.72E-06,0,0,0.000226559,0,6.24E-05
MH0445,0.113960693,8.48E-06,0.039344884,0.018166384,0.038226231,0.007957462,4.14E-06,0.00259614,0.00359233,0.004788384,0.000555489,0.004816747,0.028542608,0,0,0.003076718,0.004502058,0,0.007395404,0.004557897,8.68E-06,0.004961539,4.19E-06,0,0,0.000406958,0,0.000254507,0.006011414,0,0.000656282,8.71E-06,0,0,0,0,0,4.35E-06,0,2.30E-05,6.22E-05,0.00010789,0,8.68E-06,4.10E-06,0,0,0,3.95E-05,0,6.40E-05
MH0077,0.081428898,0.080978745,0.041828298,0.028210734,0.022010564,0.008430963,0,0.014360203,0.009496055,0.002539356,0.00296143,0.002975329,0.009893778,0.052542786,0.038659737,0.001860814,0.005492063,0,1.30E-05,0.000896427,0,0.001096,0.003706592,0,0.004830896,0.001304326,0,0.00041313,0.000129274,0,6.37E-05,0,0.000397641,0.000128119,0,0,0,0,0,1.17E-05,5.42E-05,0.000145754,0,0,0,0,0,0,0.000117488,0,6.51E-05
MH0288,0.041391574,0.087665138,0.094925015,0.046995081,0.00959494,0.042093082,4.12E-06,0.012180727,0.00846301,0.002048957,0.001395757,0.001803483,0.00013692,0,0,0.002724287,0.001982323,4.57E-06,4.75E-06,0.000938368,0,0.001905163,0.006488777,0.027086287,4.66E-06,0.005126939,4.76E-06,6.84E-05,0.000475311,9.65E-06,0.002725585,0,0.000590495,5.09E-05,0,1.84E-05,1.90E-05,0.000802279,0,0,0.000103717,4.33E-05,0,4.83E-06,4.60E-07,0,0,0,9.01E-05,0,4.74E-05
MH0145,0.11839217,1.65E-05,0.08066182,0.01307964,0.009899479,0.029764448,0.002292051,0.008969501,0.014119632,0.002955035,0.00588519,0.017172356,0.001586469,1.71E-05,0,0.017378894,0.004241408,0,0.002841252,0.00045313,0,0.010712448,0,0,0.0061905,8.58E-06,0,0.000602335,0.001306619,8.61E-06,8.26E-05,0,0,0.001007251,0.000884567,9.19E-06,5.76E-05,0,0,0,7.93E-05,0.000165204,0,0,0,0,0,0,5.08E-05,0,0.000135355
MH0220,0.089817726,0.006621583,0.01116797,0.06229635,0.035818686,0.013647486,0.001105815,0.003128179,0.01254181,0.000607295,0.004995801,0.001434252,0.000367312,0,7.39E-05,0.001893904,0.003178397,0,0.001225136,0.000540266,1.96E-05,0.002500711,0.013807591,0.025109899,0.009370062,5.46E-05,0,0.000478845,0.00096128,0,4.72E-06,0,0.001392385,0.000172012,0,0,0,0.002983795,3.13E-05,1.33E-05,0.000107799,0.000156365,0,1.00E-05,0,0,0,0,0.000137822,0,0
MH0200,0.021045633,0.034372426,0.080355495,0.020079958,0.013990492,0.012836962,0,0.001911825,0.011127586,0.004378232,0.001359799,0.00339275,0.007957892,0.012563734,5.80E-05,0.008505944,0.000925572,0,0,0.000231509,0,0.009130444,0.00225118,0.001690819,0,0,0,0.000173058,0.003500653,0,1.12E-05,0,0.000308423,0.000535003,0.00223853,0,1.20E-05,5.93E-06,0,2.61E-05,0.00020551,0.0002079,0,2.36E-05,0,0,0,0,0.000238272,0,8.70E-05
MH0100,0.064377969,2.95E-05,0.021398457,0.021818115,0.006730712,0.020965846,0,0.003212528,0.017254631,0.001799515,0.002809322,0.002448275,0.021419327,3.06E-05,0,0.006173682,0.001714313,0,0.007684334,0.001584077,0,0.003884173,0.002582269,0,0.000772463,0.000410021,0,0.000587885,0.000464459,0.000517723,0.000569951,0.002402364,0.000341847,0.004316313,0.000349249,0,0,0.000764718,0,0,2.52E-05,0.000191354,0,1.23E-05,0,0,0,0,0.000121057,0,0
