# Comprehensive intervention comparison table
# Generated from 80 intervention results
Gene,Condition,InterventionGene,InterventionMode,WildtypeMean,MutantMean,FoldChange,PercentChange,ZScore,Significant
trpB,srfAA_Knockout,srfAA,Knockout,-0.0035,-0.0145,-0.0110,-312.3146,-0.0110,0
trpC,srfAA_Knockout,srfAA,Knockout,0.0079,-0.0041,-0.0120,-151.6750,-0.0120,0
trpD,srfAA_Knockout,srfAA,Knockout,0.0078,0.0023,-0.0054,-69.9740,-0.0054,0
trpE,srfAA_Knockout,srfAA,Knockout,-0.0032,-0.0149,-0.0117,-365.7952,-0.0117,0
trpF,srfAA_Knockout,srfAA,Knockout,-0.0006,-0.0219,-0.0213,-3528.9883,-0.0213,0
pheA,srfAA_Knockout,srfAA,Knockout,0.0049,-0.0004,-0.0054,-108.4450,-0.0054,0
tyrA,srfAA_Knockout,srfAA,Knockout,-0.0003,-0.0052,-0.0049,-1795.4685,-0.0049,0
glnA,srfAA_Knockout,srfAA,Knockout,-0.0157,-0.0129,0.0028,18.0418,0.0028,0
gltA,srfAA_Knockout,srfAA,Knockout,-0.0112,-0.0095,0.0017,14.8699,0.0017,0
gltB,srfAA_Knockout,srfAA,Knockout,-0.0016,-0.0013,0.0004,22.2615,0.0004,0
gltC,srfAA_Knockout,srfAA,Knockout,-0.0078,-0.0036,0.0042,53.5053,0.0042,0
asnA,srfAA_Knockout,srfAA,Knockout,-0.0011,-0.0190,-0.0179,-1697.2038,-0.0179,0
asnB,srfAA_Knockout,srfAA,Knockout,0.0005,-0.0102,-0.0107,-2031.9109,-0.0107,0
asnC,srfAA_Knockout,srfAA,Knockout,-0.0067,-0.0034,0.0033,49.3321,0.0033,0
metA,srfAA_Knockout,srfAA,Knockout,-0.0042,-0.0025,0.0016,39.1277,0.0016,0
metB,srfAA_Knockout,srfAA,Knockout,-0.0114,-0.0114,0.0001,0.4420,0.0001,0
metC,srfAA_Knockout,srfAA,Knockout,0.0107,-0.0036,-0.0143,-133.5294,-0.0143,0
metE,srfAA_Knockout,srfAA,Knockout,-0.0050,-0.0076,-0.0026,-51.7711,-0.0026,0
metF,srfAA_Knockout,srfAA,Knockout,-0.0060,-0.0074,-0.0013,-22.0419,-0.0013,0
metH,srfAA_Knockout,srfAA,Knockout,-0.0018,-0.0027,-0.0008,-44.4532,-0.0008,0
cysA,srfAA_Knockout,srfAA,Knockout,-0.0039,-0.0023,0.0015,39.4796,0.0015,0
cysB,srfAA_Knockout,srfAA,Knockout,0.0032,-0.0159,-0.0192,-592.8955,-0.0192,0
cysC,srfAA_Knockout,srfAA,Knockout,-0.0057,-0.0041,0.0016,27.4084,0.0016,0
cysD,srfAA_Knockout,srfAA,Knockout,-0.0040,-0.0121,-0.0081,-203.7176,-0.0081,0
cysE,srfAA_Knockout,srfAA,Knockout,-0.0044,-0.0064,-0.0020,-45.1583,-0.0020,0
cysH,srfAA_Knockout,srfAA,Knockout,-0.0126,-0.0142,-0.0015,-12.0258,-0.0015,0
cysI,srfAA_Knockout,srfAA,Knockout,0.0038,-0.0015,-0.0053,-140.5032,-0.0053,0
cysK,srfAA_Knockout,srfAA,Knockout,-0.0027,-0.0039,-0.0012,-44.3832,-0.0012,0
oppA,srfAA_Knockout,srfAA,Knockout,0.0065,-0.0215,-0.0280,-430.4415,-0.0280,0
oppB,srfAA_Knockout,srfAA,Knockout,-0.0058,-0.0106,-0.0048,-83.8885,-0.0048,0
oppC,srfAA_Knockout,srfAA,Knockout,0.0148,0.0139,-0.0009,-6.2156,-0.0009,0
oppD,srfAA_Knockout,srfAA,Knockout,0.0107,0.0006,-0.0101,-94.4657,-0.0101,0
oppF,srfAA_Knockout,srfAA,Knockout,-0.0161,-0.0030,0.0131,81.0939,0.0131,0
dppA,srfAA_Knockout,srfAA,Knockout,0.0018,-0.0048,-0.0065,-369.4989,-0.0065,0
dppB,srfAA_Knockout,srfAA,Knockout,-0.0093,-0.0096,-0.0004,-3.8126,-0.0004,0
dppC,srfAA_Knockout,srfAA,Knockout,0.0049,-0.0022,-0.0071,-144.8672,-0.0071,0
dppD,srfAA_Knockout,srfAA,Knockout,0.0076,-0.0172,-0.0248,-326.9225,-0.0248,0
dppE,srfAA_Knockout,srfAA,Knockout,0.0187,-0.0043,-0.0230,-123.0653,-0.0230,0
dppF,srfAA_Knockout,srfAA,Knockout,-0.0003,0.0026,0.0029,1055.6091,0.0029,0
bcaP,srfAA_Knockout,srfAA,Knockout,0.0043,-0.0058,-0.0101,-235.5732,-0.0101,0
brnQ,srfAA_Knockout,srfAA,Knockout,-0.0065,-0.0102,-0.0037,-56.6610,-0.0037,0
braB,srfAA_Knockout,srfAA,Knockout,0.0154,0.0085,-0.0069,-44.6881,-0.0069,0
