# PercentChange comparison matrix: rows=genes, columns=intervention conditions
# Metric: PercentChange
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
dppF,1055.6091,1055.6091,1055.6091,1055.6091,1055.6091,1055.6091
efp,-168.2179,-168.2179,-168.2179,-168.2179,-168.2179,-168.2179
efp2,85.5917,85.5917,85.5917,85.5917,85.5917,85.5917
fenA,-202.1467,-202.1467,-202.1467,-202.1467,-202.1467,-202.1467
fenB,-198.4379,-198.4379,-198.4379,-198.4379,-198.4379,-198.4379
fenC,-276.2438,-276.2438,-276.2438,-276.2438,-276.2438,-276.2438
fenD,-230.3875,-230.3875,-230.3875,-230.3875,-230.3875,-230.3875
fenE,-226.1655,-226.1655,-226.1655,-226.1655,-226.1655,-226.1655
feuA,-54.8386,-54.8386,-54.8386,-54.8386,-54.8386,-54.8386
feuB,99.6817,99.6817,99.6817,99.6817,99.6817,99.6817
feuC,53.0853,53.0853,53.0853,53.0853,53.0853,53.0853
feuD,611.6314,611.6314,611.6314,611.6314,611.6314,611.6314
fgnZ,-307.8256,-307.8256,-307.8256,-307.8256,-307.8256,-307.8256
fhuB,102.6400,102.6400,102.6400,102.6400,102.6400,102.6400
fhuC,-5978.1547,-5978.1547,-5978.1547,-5978.1547,-5978.1547,-5978.1547
fhuD,-48.9816,-48.9816,-48.9816,-48.9816,-48.9816,-48.9816
fhuG,-125.7794,-125.7794,-125.7794,-125.7794,-125.7794,-125.7794
fmt,-178.0774,-178.0774,-178.0774,-178.0774,-178.0774,-178.0774
ftsA,65.8832,65.8832,65.8832,65.8832,65.8832,65.8832
ftsE,106.5342,106.5342,106.5342,106.5342,106.5342,106.5342
ftsX,133.4269,133.4269,133.4269,133.4269,133.4269,133.4269
ftsY,37.9438,37.9438,37.9438,37.9438,37.9438,37.9438
ftsZ,-151.3876,-151.3876,-151.3876,-151.3876,-151.3876,-151.3876
fumA,12.4336,12.4336,12.4336,12.4336,12.4336,12.4336
fumB,78.2899,78.2899,78.2899,78.2899,78.2899,78.2899
fumC,49.0945,49.0945,49.0945,49.0945,49.0945,49.0945
fur,-79.8512,-79.8512,-79.8512,-79.8512,-79.8512,-79.8512
fusA,-217.6214,-217.6214,-217.6214,-217.6214,-217.6214,-217.6214
glmM,-2.3698,-2.3698,-2.3698,-2.3698,-2.3698,-2.3698
glmS,75.3442,75.3442,75.3442,75.3442,75.3442,75.3442
glmU,30.0191,30.0191,30.0191,30.0191,30.0191,30.0191
glnA,18.0418,18.0418,18.0418,18.0418,18.0418,18.0418
glnH,-81.3536,-81.3536,-81.3536,-81.3536,-81.3536,-81.3536
glnP,-20.3974,-20.3974,-20.3974,-20.3974,-20.3974,-20.3974
glnQ,255.8679,255.8679,255.8679,255.8679,255.8679,255.8679
glnR,-68.9883,-68.9883,-68.9883,-68.9883,-68.9883,-68.9883
gltA,14.8699,14.8699,14.8699,14.8699,14.8699,14.8699
gltB,22.2615,22.2615,22.2615,22.2615,22.2615,22.2615
gltC,53.5053,53.5053,53.5053,53.5053,53.5053,53.5053
gltP,-133.0966,-133.0966,-133.0966,-133.0966,-133.0966,-133.0966
gltS,416.5557,416.5557,416.5557,416.5557,416.5557,416.5557
gltT,-637.4789,-637.4789,-637.4789,-637.4789,-637.4789,-637.4789
gor,-107.4574,-107.4574,-107.4574,-107.4574,-107.4574,-107.4574
groL,37.1727,37.1727,37.1727,37.1727,37.1727,37.1727
groS,-113.5424,-113.5424,-113.5424,-113.5424,-113.5424,-113.5424
grpE,34.2758,34.2758,34.2758,34.2758,34.2758,34.2758
gyrA,366.6260,366.6260,366.6260,366.6260,366.6260,366.6260
gyrB,80.8542,80.8542,80.8542,80.8542,80.8542,80.8542
hisA,-136.6488,-136.6488,-136.6488,-136.6488,-136.6488,-136.6488
hisB,-165.8211,-165.8211,-165.8211,-165.8211,-165.8211,-165.8211
hisC,287.6782,287.6782,287.6782,287.6782,287.6782,287.6782
hisD,56.3347,56.3347,56.3347,56.3347,56.3347,56.3347
hisE,89.6412,89.6412,89.6412,89.6412,89.6412,89.6412
hisF,14.5611,14.5611,14.5611,14.5611,14.5611,14.5611
hisG,-2019.0436,-2019.0436,-2019.0436,-2019.0436,-2019.0436,-2019.0436
icd,-574.7277,-574.7277,-574.7277,-574.7277,-574.7277,-574.7277
ichAA,36.4114,36.4114,36.4114,36.4114,36.4114,36.4114
ilvA,96.4498,96.4498,96.4498,96.4498,96.4498,96.4498
ilvB,-3125.8056,-3125.8056,-3125.8056,-3125.8056,-3125.8056,-3125.8056
ilvC,-545.5975,-545.5975,-545.5975,-545.5975,-545.5975,-545.5975
ilvD,-70.1003,-70.1003,-70.1003,-70.1003,-70.1003,-70.1003
ilvE,-3911.1259,-3911.1259,-3911.1259,-3911.1259,-3911.1259,-3911.1259
infA,-24.3656,-24.3656,-24.3656,-24.3656,-24.3656,-24.3656
infB,147.9167,147.9167,147.9167,147.9167,147.9167,147.9167
infC,-167.6737,-167.6737,-167.6737,-167.6737,-167.6737,-167.6737
ituA,-236.4505,-236.4505,-236.4505,-236.4505,-236.4505,-236.4505
ituB,-224.3612,-224.3612,-224.3612,-224.3612,-224.3612,-224.3612
ituC,-221.1823,-221.1823,-221.1823,-221.1823,-221.1823,-221.1823
ituD,-196.3305,-196.3305,-196.3305,-196.3305,-196.3305,-196.3305
katA,52.4598,52.4598,52.4598,52.4598,52.4598,52.4598
katB,-181.0109,-181.0109,-181.0109,-181.0109,-181.0109,-181.0109
katE,-195.0138,-195.0138,-195.0138,-195.0138,-195.0138,-195.0138
