# Mutant expression means: rows=genes, columns=intervention conditions
# Metric: MutantMean
# Genes: 495, Conditions: 6
Gene,sigH_Knockout,yceF_Knockout,srfAA_Overexpression,thrC_Overexpression,lutR_Knockdown,ytrJ_Knockdown
gltS,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018
gltT,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004
gor,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126
groL,0.0125,0.0125,0.0125,0.0125,0.0125,0.0125
groS,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
grpE,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043
gyrA,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
gyrB,-0.0101,-0.0101,-0.0101,-0.0101,-0.0101,-0.0101
hisA,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
hisB,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
hisC,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132,-0.0132
hisD,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014
hisE,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053,-0.0053
hisF,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
hisG,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
icd,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030,-0.0030
ichAA,0.0047,0.0047,0.0047,0.0047,0.0047,0.0047
ilvA,0.0080,0.0080,0.0080,0.0080,0.0080,0.0080
ilvB,0.0145,0.0145,0.0145,0.0145,0.0145,0.0145
ilvC,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
ilvD,0.0070,0.0070,0.0070,0.0070,0.0070,0.0070
ilvE,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160,-0.0160
infA,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047
infB,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
infC,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112,-0.0112
ituA,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
ituB,0.0144,0.0144,0.0144,0.0144,0.0144,0.0144
ituC,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073
ituD,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
katA,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
katB,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
katE,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
kr1,-0.0150,-0.0150,-0.0150,-0.0150,-0.0150,-0.0150
kr2,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141
ks1,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075
ks2,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054,-0.0054
ks3,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158,-0.0158
leuA,0.0040,0.0040,0.0040,0.0040,0.0040,0.0040
leuB,-0.0117,-0.0117,-0.0117,-0.0117,-0.0117,-0.0117
leuC,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
leuD,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080,-0.0080
ligA,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062
ligB,0.0176,0.0176,0.0176,0.0176,0.0176,0.0176
ligC,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113
lpd,0.0056,0.0056,0.0056,0.0056,0.0056,0.0056
lutP,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042
lutR,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050,-0.0050
lysA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
lysC,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
malonyl,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012,-0.0012
map,0.0059,0.0059,0.0059,0.0059,0.0059,0.0059
mdh,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113,-0.0113
metA,0.0108,0.0108,0.0108,0.0108,0.0108,0.0108
metB,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
metC,0.0032,0.0032,0.0032,0.0032,0.0032,0.0032
