geneID,C6,C9,I56,I59,I86,I89
"AT5G55670",6883.2103229771965,6819.257849380388,5749.012318049027,6915.336081663753,5287.204399680953,6519.149105003959
"AT5G55680",13.536683011254876,12.361562213633315,8.166342286638171,23.93939885700758,10.212031797683565,13.300017521155585
"AT5G55690",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,7.726554645817343,4.697275109911348
"AT5G55700",1836.3762314514402,2711.905219603068,2142.529368466511,2028.4977377623654,1880.7326252077355,1831.7776734546887
"AT5G55710",1043.4997698724537,871.0782318557698,979.3453672741214,826.9128805547587,1360.6634840879221,882.6357717475504
"AT5G55720",23.590717373635698,26.07739398667156,18.943434056554683,4.748231416871857,38.99479937282054,5.933285450472738
"AT5G55730",4030.656689233395,4440.931602594732,2832.0914800780356,5774.215143226478,2989.9868042265653,5773.365809046059
"AT5G55740",315.43830138022616,281.4261771477632,374.58354809353693,159.65008144634183,537.2038139153858,186.44739004246676
"AT5G55750",7.56784899176599,8.698260645320655,7.038190772821293,8.315342131617536,6.136409373961655,7.0873070067752115
"AT5G55760",590.7944522269459,797.9640864736235,632.1456500847947,837.913719176026,533.3966832644437,798.6377457494018
"AT5G55770",58.05885677023418,67.60555926029241,93.46703154728772,35.804372978958334,162.9491028084629,82.01201387501972
"AT5G55780",170.56570143086904,272.5988073041315,164.27486237672306,217.06141939583756,173.74842927265124,217.62541289302803
"AT5G55790",2006.847449468553,2274.4362583260263,1744.094409583889,1766.6847133994515,1507.4153010212153,1731.5419867514004
"AT5G55800",6.231424223613281,4.974160643602603,4.68414036725243,4.748231416871857,8.197196324201398,7.910973727369634
"AT5G55810",444.6793112680856,513.56598652556,460.1423413870257,498.71060942533904,400.29444495345774,514.1263818655246
"AT5G55820",2172.084741080559,3268.006578027519,1921.537107412937,4275.03290917718,1650.904991797676,3841.3359437335266
"AT5G55830",427.44210370390283,457.5111627358341,372.1356038729914,785.9762557404476,353.20947912949316,695.5998300928383
"AT5G55835",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"ENSRNA049758182",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"AT5G55840",667.5282455608619,643.2673662665378,562.0691261308973,645.8434053275051,532.9305995488376,556.7605331781887
"AT5G55850",10537.805522768427,12802.779187367425,11860.157563729777,12602.302592922177,11295.881001865066,12309.666702625253
"AT5G55855",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
"AT5G55856",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,7.449943992639401,4.697275109911348
"AT5G55860",6945.150119715832,7406.015705280422,6378.665414355575,6010.674087713935,5650.163082380104,5861.498683376099
"AT5G55870",5.041276853853251,4.974160643602603,4.68414036725243,4.748231416871857,6.136409373961655,4.697275109911348
