Gene	Intercept	Parents	Coefficients	ResidualSD	RSquared
cysC	0.000000	lysA;metA	0.435996;0.505441	0.495592	0.7644
cysD	-0.000000	metF	0.864455	0.507920	0.7473
cysE	-0.000000	argF	0.800994	0.604876	0.6416
cysH	0.000000	comA;argB	-0.473547;0.458761	0.472899	0.7855
cysI	0.000000	hisB;metA;yjbD	0.375860;0.498763;0.266461	0.419687	0.8346
cysK	-0.000000	thrA	0.866153	0.504958	0.7502
oppA	-0.000000	ilvC;argE	0.393764;0.552511	0.498469	0.7617
oppB	-0.000000	brnQ	0.972943	0.233441	0.9466
oppC	-0.000000			0.989949	0.0000
oppD	-0.000000			0.989949	0.0000
oppF	0.000000			0.989949	0.0000
dppA	0.000000			0.989949	0.0000
dppB	0.000000			0.989949	0.0000
dppC	-0.000000			0.989949	0.0000
dppD	-0.000000			0.989949	0.0000
dppE	-0.000000			0.989949	0.0000
dppF	0.000000			0.989949	0.0000
bcaP	0.000000			0.989949	0.0000
brnQ	0.000000	dppB	0.977529	0.212988	0.9556
braB	0.000000			0.989949	0.0000
glnP	-0.000000			0.989949	0.0000
glnQ	-0.000000			0.989949	0.0000
glnH	-0.000000			0.989949	0.0000
proP	-0.000000			0.989949	0.0000
proV	-0.000000	comP;fumA	-0.628775;-0.482227	0.741618	0.4725
proW	-0.000000			0.989949	0.0000
proX	0.000000			0.989949	0.0000
gltP	-0.000000			0.989949	0.0000
gltS	-0.000000			0.989949	0.0000
gltT	0.000000			0.989949	0.0000
dctA	0.000000			0.989949	0.0000
dctB	0.000000			0.989949	0.0000
dctP	-0.000000			0.989949	0.0000
citM	-0.000000			0.989949	0.0000
citH	-0.000000			0.989949	0.0000
citP	0.000000			0.989949	0.0000
mntH	-0.000000			0.989949	0.0000
mntD	-0.000000			0.989949	0.0000
feuA	-0.000000			0.989949	0.0000
feuB	0.000000			0.989949	0.0000
feuC	-0.000000			0.989949	0.0000
feuD	0.000000			0.989949	0.0000
fhuB	0.000000			0.989949	0.0000
fhuC	-0.000000			0.989949	0.0000
fhuD	-0.000000			0.989949	0.0000
fhuG	-0.000000			0.989949	0.0000
murA	-0.000000			0.989949	0.0000
murB	0.000000	tagO	0.930829	0.369241	0.8664
murC	-0.000000	tagD	0.961911	0.276196	0.9253
murD	-0.000000			0.989949	0.0000
murE	0.000000	murD	0.942144	0.338682	0.8876
murF	-0.000000	dltD	0.945145	0.330035	0.8933
murG	0.000000	tagE	0.959276	0.285398	0.9202
ddlA	-0.000000	pbpC	0.959129	0.285900	0.9199
ddlB	-0.000000	tagE	0.958380	0.288453	0.9185
alr	0.000000	dltB	0.943470	0.334893	0.8901
dat	-0.000000	murG	0.938510	0.348829	0.8808
glmS	0.000000	tagE	0.945102	0.330163	0.8932
glmM	-0.000000	tagD	0.953936	0.303119	0.9100
glmU	0.000000	murE;murF	0.538347;0.445294	0.266325	0.9320
mreB	0.000000	murE;acnA	0.530287;0.454769	0.258493	0.9359
mreC	-0.000000	glmU;tagO	0.466709;0.514033	0.266504	0.9319
mreD	0.000000	ddlB	0.958150	0.289234	0.9181
rodA	0.000000	dltB	0.944801	0.331039	0.8926
pbpA	-0.000000	tagD	0.958376	0.288469	0.9185
pbpB	-0.000000	ddlB;tagO	0.538224;0.447082	0.266875	0.9317
pbpC	-0.000000	tagD	0.961063	0.279193	0.9236
pbpD	0.000000	tagE	0.941960	0.339204	0.8873
pbpE	0.000000	tagB;tagD	0.432504;0.550885	0.256090	0.9371
tagO	-0.000000	murE;tagE	0.534274;0.446332	0.266458	0.9319
tagA	-0.000000	murE;murG	0.481579;0.500154	0.259860	0.9352
tagB	0.000000	murE;tagE	0.472548;0.510218	0.258691	0.9358
tagC	-0.000000	murG	0.958472	0.288142	0.9187
tagD	0.000000	abrB;murE	0.145702;0.969369	0.216615	0.9550
tagE	0.000000	pbpC	0.963812	0.269345	0.9289
tagF	-0.000000	tagE	0.947775	0.322246	0.8983
dltA	0.000000	znuA;tagE	-0.149732;0.986767	0.256310	0.9370
dltB	-0.000000	pbpC;tagO	0.545844;0.438244	0.258485	0.9359
dltC	0.000000	tagO	0.947733	0.322370	0.8982
dltD	-0.000000	tagE	0.953811	0.303521	0.9098
dltE	0.000000	ddlB;tagD	0.444937;0.540252	0.260603	0.9349
acnA	-0.000000	pbpA;dltC;clpC	0.545106;0.467396;-0.142742	0.235090	0.9481
acnB	0.000000			0.989949	0.0000
icd	0.000000			0.989949	0.0000
sucC	-0.000000			0.989949	0.0000
sucD	0.000000			0.989949	0.0000
sucA	0.000000			0.989949	0.0000
sucB	-0.000000			0.989949	0.0000
lpd	0.000000			0.989949	0.0000
sdhA	-0.000000			0.989949	0.0000
sdhB	0.000000			0.989949	0.0000
sdhC	-0.000000			0.989949	0.0000
sdhD	0.000000			0.989949	0.0000
fumA	-0.000000			0.989949	0.0000
fumB	0.000000			0.989949	0.0000
fumC	-0.000000			0.989949	0.0000
mdh	0.000000			0.989949	0.0000
ctaA	-0.000000			0.989949	0.0000
ctaB	-0.000000			0.989949	0.0000
ctaC	0.000000			0.989949	0.0000
ctaD	-0.000000			0.989949	0.0000
ctaE	0.000000			0.989949	0.0000
ctaF	-0.000000			0.989949	0.0000
qoxA	-0.000000			0.989949	0.0000
qoxB	0.000000			0.989949	0.0000
qoxC	0.000000			0.989949	0.0000
qoxD	-0.000000			0.989949	0.0000
qoxE	0.000000			0.989949	0.0000
qoxF	-0.000000			0.989949	0.0000
cydA	0.000000			0.989949	0.0000
cydB	-0.000000			0.989949	0.0000
cydC	0.000000			0.989949	0.0000
cydD	0.000000			0.989949	0.0000
atpA	-0.000000			0.989949	0.0000
atpB	-0.000000			0.989949	0.0000
atpC	0.000000			0.989949	0.0000
atpD	-0.000000			0.989949	0.0000
atpE	0.000000			0.989949	0.0000
atpF	-0.000000			0.989949	0.0000
atpG	0.000000			0.989949	0.0000
atpH	0.000000			0.989949	0.0000
ndh	-0.000000			0.989949	0.0000
nuoA	0.000000			0.989949	0.0000
nuoB	0.000000			0.989949	0.0000
nuoC	0.000000			0.989949	0.0000
nuoD	0.000000			0.989949	0.0000
nuoE	-0.000000			0.989949	0.0000
nuoF	-0.000000			0.989949	0.0000
gyrA	0.000000			0.989949	0.0000
gyrB	-0.000000			0.989949	0.0000
parC	-0.000000			0.989949	0.0000
parE	-0.000000			0.989949	0.0000
dnaA	0.000000			0.989949	0.0000
dnaB	0.000000			0.989949	0.0000
dnaC	0.000000			0.989949	0.0000
