pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5236	57818
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	2538
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	2645
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	3098
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	3099
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	3101
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5238	57818
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5313	2023
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5313	2026
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5313	2027
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5315	2023
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5315	2026
Glycolysis / Gluconeogenesis - Homo sapiens (human)	5315	2027
Glycolysis / Gluconeogenesis - Homo sapiens (human)	55902	1737
Glycolysis / Gluconeogenesis - Homo sapiens (human)	55902	218
Glycolysis / Gluconeogenesis - Homo sapiens (human)	55902	220
Glycolysis / Gluconeogenesis - Homo sapiens (human)	55902	221
Glycolysis / Gluconeogenesis - Homo sapiens (human)	55902	222
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	441531
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	5223
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	5224
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	669
Glycolysis / Gluconeogenesis - Homo sapiens (human)	669	728188
Glycolysis / Gluconeogenesis - Homo sapiens (human)	7167	226
Glycolysis / Gluconeogenesis - Homo sapiens (human)	7167	229
Glycolysis / Gluconeogenesis - Homo sapiens (human)	7167	230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	728188	5230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	728188	5232
Glycolysis / Gluconeogenesis - Homo sapiens (human)	729708	226
Glycolysis / Gluconeogenesis - Homo sapiens (human)	729708	229
Glycolysis / Gluconeogenesis - Homo sapiens (human)	729708	230
Glycolysis / Gluconeogenesis - Homo sapiens (human)	84532	1737
Glycolysis / Gluconeogenesis - Homo sapiens (human)	84532	218
Glycolysis / Gluconeogenesis - Homo sapiens (human)	84532	220
Glycolysis / Gluconeogenesis - Homo sapiens (human)	84532	221
Glycolysis / Gluconeogenesis - Homo sapiens (human)	84532	222
Glycolysis / Gluconeogenesis - Homo sapiens (human)	8789	2821
Glycolysis / Gluconeogenesis - Homo sapiens (human)	92483	5313
Glycolysis / Gluconeogenesis - Homo sapiens (human)	92483	5315
Citrate cycle (TCA cycle) - Homo sapiens (human)	1431	48
Citrate cycle (TCA cycle) - Homo sapiens (human)	1431	50
Citrate cycle (TCA cycle) - Homo sapiens (human)	1431	5091
Citrate cycle (TCA cycle) - Homo sapiens (human)	1431	5105
Citrate cycle (TCA cycle) - Homo sapiens (human)	1431	5106
Citrate cycle (TCA cycle) - Homo sapiens (human)	1737	1431
Citrate cycle (TCA cycle) - Homo sapiens (human)	1737	47
Citrate cycle (TCA cycle) - Homo sapiens (human)	1737	5160
Citrate cycle (TCA cycle) - Homo sapiens (human)	1737	5161
Citrate cycle (TCA cycle) - Homo sapiens (human)	1737	5162
Citrate cycle (TCA cycle) - Homo sapiens (human)	1738	4967
Citrate cycle (TCA cycle) - Homo sapiens (human)	1738	5160
Citrate cycle (TCA cycle) - Homo sapiens (human)	1738	5161
Citrate cycle (TCA cycle) - Homo sapiens (human)	1738	5162
Citrate cycle (TCA cycle) - Homo sapiens (human)	1738	55753
Citrate cycle (TCA cycle) - Homo sapiens (human)	1743	1738
Citrate cycle (TCA cycle) - Homo sapiens (human)	1743	4967
Citrate cycle (TCA cycle) - Homo sapiens (human)	1743	55753
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	6389
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	6390
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	6391
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	6392
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	642502
Citrate cycle (TCA cycle) - Homo sapiens (human)	2271	651820
Citrate cycle (TCA cycle) - Homo sapiens (human)	283398	1743
Citrate cycle (TCA cycle) - Homo sapiens (human)	3417	3419
Citrate cycle (TCA cycle) - Homo sapiens (human)	3417	3420
