ID,NodeType,weight,x,y,degree,degree.in,degree.out,degreeCentrality,OutDegreeCentrality,label
"1,99",1,1,0,0,150,31,119,0.0004213412133503368,0.0006685280585158678,49
"10,1",1,1,0,0,38,31,7,0.00010673977404875198,3.93251799126981E-05,201
"10,101",4,1,0,0,133,31,102,0.00037358920917063195,0.0005730240501564581,251
"10,103",1,1,0,0,47,31,16,0.0001320202468497722,8.988612551473852E-05,252
"10,105",1,1,0,0,98,31,67,0.0002752762593888867,0.0003763981505929675,253
"10,107",1,1,0,0,66,31,35,0.0001853901338741482,0.0001966258995634905,254
"10,109",1,1,0,0,40,30,10,0.00011235765689342314,5.617882844671157E-05,255
"10,11",1,1,0,0,64,31,33,0.00017977225102947704,0.0001853901338741482,206
"10,111",1,1,0,0,31,31,,8.707718409240294E-05,,256
"10,113",2,1,0,0,61,31,30,0.0001713454267624703,0.00016853648534013473,257
