class	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal	Normal
23507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23504	0.0	0.0	0.0	2213.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1348.4	6533.8	0.0
23053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
375035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7188	2773.7	7700.0	7366.5	7326.4	0.0	6561.1	4509.2	3139.8	0.0	5594.2	5630.0	6226.7
7189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1910.7	0.0	0.0	0.0	0.0
7182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29105	0.0	0.0	0.0	0.0	0.0	0.0	1636.5	0.0	0.0	0.0	0.0	0.0
7185	0.0	1719.9	0.0	0.0	0.0	0.0	0.0	3217.7	0.0	0.0	0.0	0.0
7186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1287.0	0.0	0.0
7187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3433	0.0	0.0	3538.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5139.8	0.0
401014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3434	0.0	11371.1	6260.0	0.0	0.0	0.0	2037.4	7793.6	0.0	0.0	0.0	0.0
101060478	0.0	0.0	2668.5	0.0	4550.4	3415.5	1404.9	0.0	0.0	3275.4	0.0	713.3
283652	0.0	0.0	1392.2	0.0	0.0	0.0	0.0	0.0	0.0	909.2	0.0	0.0
8549	0.0	0.0	0.0	5284.9	0.0	0.0	0.0	15049.9	0.0	9967.7	8429.2	0.0
8548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8019	8228.7	12292.8	5598.0	14671.0	6727.7	9712.4	6653.9	8358.3	7675.7	10791.3	8948.1	7408.9
8545	0.0	0.0	0.0	0.0	0.0	0.0	3566.9	0.0	0.0	2572.9	0.0	0.0
8544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8547	0.0	0.0	2166.5	0.0	3537.9	0.0	0.0	0.0	0.0	0.0	5514.1	0.0
8546	4980.1	0.0	3447.8	0.0	0.0	0.0	3788.5	3239.8	6070.7	3326.3	7088.2	2560.4
8013	0.0	0.0	0.0	0.0	0.0	0.0	-606.7	0.0	0.0	0.0	0.0	0.0
8540	0.0	0.0	2382.7	0.0	4630.3	3755.1	14018.7	2755.7	0.0	1383.5	0.0	6809.5
8543	0.0	0.0	4132.1	0.0	0.0	0.0	3828.5	3686.1	0.0	3571.2	0.0	2550.5
8542	0.0	0.0	0.0	4206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	568.4	0.0	0.0
2037	0.0	0.0	1887.6	0.0	0.0	0.0	0.0	0.0	0.0	1925.2	0.0	1296.1
7454	9854.2	17450.9	19805.7	6236.2	17799.3	0.0	22918.7	12701.9	0.0	9524.6	0.0	16181.8
375056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1080.9
7453	0.0	2944.6	2619.7	443.7	0.0	0.0	3594.6	1927.3	0.0	0.0	0.0	0.0
7450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1290.5	0.0	0.0
2035	3042.0	0.0	0.0	0.0	0.0	0.0	0.0	1843.6	6331.4	0.0	3635.2	0.0
7458	10325.1	9434.5	10604.5	10758.4	11703.5	18869.6	10478.6	9370.5	8197.2	15740.1	10562.2	10485.5
23125	3348.9	0.0	3670.0	0.0	3674.1	5258.5	3869.9	2453.2	0.0	2561.1	5503.1	5267.8
203068	97702.6	90892.2	50978.1	83308.9	67744.5	77276.9	34248.0	121425.5	73838.5	118324.1	100027.0	58974.6
2033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2716.6	0.0	0.0	0.0	0.0
629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28387	2359.9	13671.4	11444.0	5307.2	9651.7	11094.6	23053.8	9479.5	16900.7	15628.9	38617.2	11761.3
4594	0.0	0.0	0.0	0.0	2608.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
55623	0.0	6720.6	9078.9	9887.8	5167.0	0.0	8094.9	9578.3	15554.9	8544.6	8997.5	5963.2
55621	0.0	0.0	6502.5	0.0	0.0	0.0	7370.8	0.0	0.0	5082.2	0.0	0.0
4595	4497.6	4439.7	4361.9	5326.8	5733.2	0.0	4542.6	7351.4	0.0	4555.0	0.0	4228.2
55627	6363.8	4631.0	3688.9	3973.4	0.0	3430.3	4453.2	6125.7	0.0	7102.4	0.0	8054.8
84900	0.0	0.0	0.0	0.0	0.0	3325.8	0.0	0.0	0.0	0.0	0.0	0.0
84901	5020.3	7769.0	0.0	0.0	6863.9	0.0	5701.0	6020.1	0.0	6060.9	0.0	6658.9
10882	16579.5	0.0	15130.9	28600.9	0.0	0.0	33052.4	29778.7	45409.8	16715.5	40965.6	32236.7
84909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23122	0.0	3205.5	2583.3	2789.8	1428.0	4318.3	2413.8	2237.9	0.0	2523.9	4232.7	4612.1
4598	9393.6	12688.6	7001.1	17982.1	0.0	13649.2	0.0	10577.1	0.0	8917.6	0.0	9293.9
4734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2836.8	0.0	0.0	0.0
221154	0.0	3374.2	4048.1	2831.7	0.0	0.0	3240.5	3593.8	7062.6	3158.9	0.0	2419.4
92086	0.0	0.0	1966.9	5337.1	0.0	0.0	0.0	0.0	0.0	1461.0	0.0	3307.6
2319	0.0	0.0	6325.7	0.0	0.0	0.0	4733.6	0.0	0.0	0.0	0.0	0.0
8292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13575.8	6263.9	0.0	0.0
8295	8700.4	5808.6	6850.5	0.0	0.0	0.0	7225.2	6288.6	12167.2	12872.4	8133.4	8677.5
2038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13739.7	2324.2	0.0	0.0
4738	10370.0	9710.0	9594.5	7726.0	5518.2	15096.2	11850.7	10380.9	0.0	9552.8	5715.6	9422.0
8294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2697.9	0.0	0.0	0.0	0.0
155400	12658.2	16334.7	6323.1	10944.9	4222.3	5486.1	22877.6	14401.7	26763.7	19338.0	12208.7	14969.0
393	18769.1	12383.7	15044.1	13922.3	12345.0	8517.3	24942.7	22698.2	39085.9	14434.6	16789.8	11580.3
392	7348.5	7947.4	16844.0	7206.9	6826.7	7226.2	12961.8	8966.4	10860.7	7630.3	9350.7	12626.6
391	9202.5	0.0	6791.6	0.0	0.0	6186.0	4649.6	0.0	0.0	0.0	0.0	4328.7
390	0.0	0.0	0.0	0.0	0.0	2423.0	0.0	0.0	0.0	0.0	0.0	0.0
397	56514.1	48394.3	73598.2	40979.6	48537.4	56648.6	68345.3	44581.6	15862.7	46491.0	47636.8	46999.1
396	21596.7	7371.2	26606.4	15589.9	9206.0	14903.4	17432.6	24683.5	0.0	16765.1	11592.5	13623.9
395	0.0	1772.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
394	0.0	0.0	0.0	0.0	0.0	0.0	2069.4	1927.6	0.0	0.0	0.0	0.0
399	0.0	8126.4	3920.9	6833.9	0.0	5938.9	8324.9	8000.9	0.0	6387.4	0.0	3272.4
2309	5455.0	5239.4	0.0	6806.9	4793.8	4171.5	5828.5	3164.1	8992.0	5602.7	0.0	4428.4
2308	11303.3	13352.5	7785.6	14853.3	10244.1	8983.1	21671.8	20375.0	20566.2	21586.9	15848.6	13897.9
201134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4729	6688.8	6157.5	4306.0	5883.0	6306.1	0.0	6826.6	5048.7	0.0	5546.8	0.0	4971.5
4728	5297.7	6405.8	7095.8	0.0	4839.4	9027.8	3694.5	1726.2	0.0	6126.6	3662.1	6207.6
4725	8050.6	4437.4	3391.9	5250.5	5928.6	7701.1	4531.5	0.0	0.0	0.0	0.0	4166.6
4724	0.0	9254.5	8678.6	6710.0	6647.7	10385.6	4365.9	0.0	0.0	8367.5	0.0	4243.6
4726	4877.4	0.0	0.0	4863.1	0.0	0.0	3740.6	0.0	0.0	5019.2	0.0	0.0
2305	0.0	0.0	0.0	0.0	0.0	3219.6	0.0	3947.9	0.0	8140.9	0.0	0.0
2304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4723	9401.8	10103.9	6774.2	8727.1	10202.6	9454.1	4156.3	9717.0	0.0	9388.9	0.0	9824.9
4722	8198.7	0.0	7511.9	5431.7	8794.0	12250.9	8549.3	5355.7	7718.1	11479.7	0.0	10080.3
83700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1979.5
3748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2149.2	0.0
3746	1101.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2455.4	0.0
3745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
56829	5256.4	6518.4	7910.1	7881.5	3974.5	0.0	8253.1	6398.0	11443.5	6344.9	0.0	10971.4
3741	0.0	8276.4	2390.8	9249.1	31170.4	0.0	0.0	2221.5	0.0	0.0	7429.9	6339.6
4620	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4621	0.0	0.0	0.0	0.0	2068.4	0.0	0.0	0.0	4911.7	1085.8	0.0	1811.7
414062	0.0	2110.4	0.0	0.0	3732.3	0.0	0.0	0.0	5481.3	0.0	0.0	0.0
4624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4627	28317.0	29996.2	26186.7	19134.3	28473.2	33639.5	28914.6	22977.8	16846.2	19159.1	14691.5	30168.7
4628	0.0	0.0	0.0	0.0	4310.8	0.0	3074.7	0.0	0.0	3080.1	5055.1	3109.2
4629	2431.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51103	3329.6	0.0	1906.4	2586.4	0.0	0.0	2647.5	2203.8	0.0	3171.2	3903.6	1510.8
51100	0.0	0.0	6060.3	0.0	3241.7	0.0	0.0	3757.3	0.0	3898.3	0.0	0.0
51101	0.0	0.0	0.0	0.0	0.0	5143.4	0.0	0.0	0.0	0.0	0.0	0.0
51109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1033.4	0.0	0.0
619569	93008.1	77087.7	76366.8	66934.8	91359.0	81719.6	58459.8	32753.9	50438.9	60088.0	61525.4	34962.4
619568	32028.0	39152.4	46761.1	36524.5	44691.1	32578.6	43847.2	51958.0	66424.9	49811.7	44251.6	44822.6
619565	219274.4	158316.7	196260.1	167606.7	153319.5	197060.3	171983.9	124974.4	135346.0	121019.9	219517.6	113930.7
619567	32028.0	39152.4	46761.1	36524.5	44691.1	32578.6	43847.2	51958.0	66424.9	49811.7	44251.6	44822.6
619562	212968.1	261203.9	201679.0	205287.5	271376.6	254983.6	171404.5	157086.2	166903.2	165697.8	258121.1	109064.9
5209	0.0	0.0	2581.6	3316.5	3203.1	0.0	2870.6	0.0	7003.5	0.0	0.0	0.0
178	0.0	3894.7	4077.2	0.0	0.0	0.0	3246.5	3480.5	0.0	2357.2	0.0	0.0
177	0.0	0.0	0.0	0.0	4632.2	0.0	0.0	0.0	0.0	2476.5	0.0	4154.8
